"","X","country","year","sex","age","suicides_no","population","suicides_per_100k","HDI.for.year","gdp_for_year","gdp_per_capita"
"1",207,"Albania",2010,"male","25-34",9,179720,5.01,0.722,11926953259,4359
"2",651,"Argentina",2010,"male","25-34",485,3237957,14.98,0.811,423627422092,11273
"3",903,"Armenia",2010,"male","25-34",10,202936,4.93,0.721,9260284938,3460
"4",1136,"Aruba",2010,"male","25-34",0,5568,0,NA,2467703911,25974
"5",1345,"Australia",2010,"male","25-34",311,1606526,19.36,0.927,1144260547873,54887
"6",1623,"Austria",2010,"male","25-34",85,542986,15.65,0.879,391892746545,49181
"7",2071,"Bahamas",2010,"male","25-34",0,28398,0,0.774,10095760000,30239
"8",2266,"Bahrain",2010,"male","25-34",6,235591,2.55,0.819,25713271277,22572
"9",2489,"Barbados",2010,"male","25-34",0,18826,0,0.78,4461650000,17034
"10",2700,"Belarus",2010,"male","25-34",382,723856,52.77,0.786,57222490769,6371
"11",2952,"Belgium",2010,"male","25-34",184,696461,26.42,0.883,483548031197,47355
"12",3226,"Belize",2010,"male","25-34",4,24053,16.63,0.71,1397113450,4923
"13",3527,"Brazil",2010,"male","25-34",1832,17023785,10.76,0.737,2208871646203,12161
"14",3805,"Bulgaria",2010,"male","25-34",57,566462,10.06,0.773,50610058210,7066
"15",4080,"Canada",2010,"male","25-34",409,2366854,17.28,0.903,1613464422811,49974
"16",4331,"Chile",2010,"male","25-34",307,1289792,23.8,0.814,218537551220,13874
"17",4606,"Colombia",2010,"male","25-34",436,3779392,11.54,0.706,287018184638,6836
"18",4881,"Costa Rica",2010,"male","25-34",74,371498,19.92,0.75,37268635287,8906
"19",5126,"Croatia",2010,"male","25-34",44,316471,13.9,0.807,59829574391,14232
"20",5410,"Cuba",2010,"male","25-34",102,710089,14.36,0.778,6.4328e+10,5997
"21",5576,"Cyprus",2010,"male","25-34",7,65092,10.75,0.848,25562251656,32477
"22",5864,"Czech Republic",2010,"male","25-34",168,858416,19.57,0.863,207477857919,20862
"23",6138,"Denmark",2010,"male","25-34",43,329780,13.04,0.908,321995350347,61711
"24",6412,"Ecuador",2010,"male","25-34",171,1181648,14.47,0.717,69555367000,5206
"25",6675,"El Salvador",2010,"male","25-34",93,400088,23.24,0.653,18447922400,3318
"26",6918,"Estonia",2010,"male","25-34",28,96230,29.1,0.838,19490936349,15540
"27",7323,"Finland",2010,"male","25-34",119,351262,33.88,0.878,247799815768,48939
"28",7602,"France",2010,"male","25-34",805,3829316,21.02,0.881,2642609548930,44747
"29",7818,"Georgia",2010,"male","25-34",16,337200,4.74,0.735,11638536834,2775
"30",8094,"Germany",2010,"male","25-34",735,4940288,14.88,0.906,3417094562649,43614
"31",8370,"Greece",2010,"male","25-34",53,845373,6.27,0.867,299361576558,27886
"32",8602,"Grenada",2010,"male","25-34",0,9006,0,0.737,771015889,8118
"33",8881,"Guatemala",2010,"male","25-34",76,1073765,7.08,0.611,41338595381,3260
"34",9147,"Guyana",2010,"male","25-34",30,53501,56.07,0.624,2273225042,3384
