"","country","employrate","Unemploy_rate"
"1","Afghanistan",55.70000076,44.29999924
"2","Albania",51.40000153,48.59999847
"3","Algeria",50.5,49.5
"4","Andorra",NA,NA
"5","Angola",75.69999695,24.30000305
"6","Antigua and Barbuda",NA,NA
"7","Argentina",58.40000153,41.59999847
"8","Armenia",40.09999847,59.90000153
"9","Aruba",NA,NA
"10","Australia",61.5,38.5
"11","Austria",57.09999847,42.90000153
"12","Azerbaijan",60.90000153,39.09999847
"13","Bahamas",66.59999847,33.40000153
"14","Bahrain",60.40000153,39.59999847
"15","Bangladesh",68.09999847,31.90000153
"16","Barbados",66.90000153,33.09999847
"17","Belarus",53.40000153,46.59999847
"18","Belgium",48.59999847,51.40000153
"19","Belize",56.79999924,43.20000076
"20","Benin",71.59999847,28.40000153
"21","Bermuda",NA,NA
"22","Bhutan",58.40000153,41.59999847
"23","Bolivia",70.40000153,29.59999847
"24","Bosnia and Herzegovina",41.20000076,58.79999924
"25","Botswana",46,54
"26","Brazil",64.5,35.5
"27","Brunei",63.79999924,36.20000076
"28","Bulgaria",47.29999924,52.70000076
"29","Burkina Faso",81.30000305,18.69999695
"30","Burundi",83.19999695,16.80000305
"31","Cambodia",78.90000153,21.09999847
"32","Cameroon",59.09999847,40.90000153
"33","Canada",63.5,36.5
"34","Cape Verde",55.90000153,44.09999847
"35","Cayman Islands",NA,NA
"36","Central African Rep.",71.30000305,28.69999695
"37","Chad",68.90000153,31.09999847
"38","Chile",51,49
"39","China",72.80000305,27.19999695
"40","Colombia",63.20000076,36.79999924
"41","Comoros",68,32
"42","Dem. Rep. Congo",66.19999695,33.80000305
"43","Congo, Rep.",64.19999695,35.80000305
"44","Cook Islands",NA,NA
"45","Costa Rica",58.59999847,41.40000153
"46","Cote d'Ivoire",59.90000153,40.09999847
"47","Croatia",47.09999847,52.90000153
"48","Cuba",56,44
"49","Cyprus",59.09999847,40.90000153
"50","Czech Rep.",56,44
"51","Denmark",63.09999847,36.90000153
"52","Djibouti",NA,NA
"53","Dominica",NA,NA
"54","Dominican Rep.",52.70000076,47.29999924
"55","Ecuador",59.70000076,40.29999924
"56","Egypt",42.40000153,57.59999847
"57","El Salvador",58.20000076,41.79999924
"58","Equatorial Guinea",61.70000076,38.29999924
"59","Eritrea",64.90000153,35.09999847
"60","Estonia",56.5,43.5
"61","Ethiopia",80.69999695,19.30000305
"62","Faeroe Islands",NA,NA
"63","Fiji",56.40000153,43.59999847
"64","Finland",57.20000076,42.79999924
"65","France",51.20000076,48.79999924
"66","French Polynesia",NA,NA
"67","Gabon",59,41
"68","Gambia",71.69999695,28.30000305
"69","Georgia",55.59999847,44.40000153
"70","Germany",53.5,46.5
"71","Ghana",65.09999847,34.90000153
"72","Gibraltar",NA,NA
"73","Greece",49.59999847,50.40000153
"74","Greenland",NA,NA
"75","Grenada",NA,NA
"76","Guadeloupe",43.09999847,56.90000153
"77","Guam",NA,NA
"78","Guatemala",62.70000076,37.29999924
"79","Guinea",81.5,18.5
"80","Guinea-Bissau",65.90000153,34.09999847
"81","Guyana",58.90000153,41.09999847
"82","Haiti",55.90000153,44.09999847
"83","Honduras",56.29999924,43.70000076
"84","Hong Kong, China",59,41
"85","Hungary",47.29999924,52.70000076
"86","Iceland",73.59999847,26.40000153
"87","India",55.40000153,44.59999847
"88","Indonesia",61.5,38.5
"89","Iran",47.79999924,52.20000076
"90","Iraq",37.40000153,62.59999847
"91","Ireland",59.90000153,40.09999847
"92","Israel",51.29999924,48.70000076
