"","X","country","year","sex","age","suicides_no","population","suicides_per_100k","HDI.for.year","gdp_for_year","gdp_per_capita"
"1",428,"Antigua and Barbuda",2014,"male","25-34",0,6928,0,0.783,1280133333,14093
"2",699,"Argentina",2014,"male","25-34",531,3276955,16.2,0.836,526319673732,13400
"3",953,"Armenia",2014,"male","25-34",6,253461,2.37,0.733,11609512940,4142
"4",1393,"Australia",2014,"male","25-34",404,1730968,23.34,0.935,1464955475994,66809
"5",1671,"Austria",2014,"male","25-34",100,576126,17.36,0.885,441885415806,54278
"6",2314,"Bahrain",2014,"male","25-34",3,237952,1.26,0.824,33387712766,27503
"7",2736,"Belarus",2014,"male","25-34",297,768569,38.64,0.798,78813839984,8849
"8",3000,"Belgium",2014,"male","25-34",168,728759,23.05,0.89,530770977634,50173
"9",3274,"Belize",2014,"male","25-34",7,27885,25.1,0.715,1703951050,5448
"10",3313,"Bosnia and Herzegovina",2014,"male","25-34",19,252546,7.52,0.733,18558343508,5079
"11",3576,"Brazil",2014,"male","25-34",1982,17601477,11.26,0.755,2455993625159,12975
"12",3853,"Bulgaria",2014,"male","25-34",47,508827,9.24,0.782,56731990232,8241
"13",4380,"Chile",2014,"male","25-34",289,1384843,20.87,0.832,260584090571,15883
"14",4656,"Colombia",2014,"male","25-34",395,3965410,9.96,0.72,378195716714,8591
"15",4931,"Costa Rica",2014,"male","25-34",49,401836,12.19,0.766,50577769838,11485
"16",5174,"Croatia",2014,"male","25-34",42,287190,14.62,0.818,57629518806,14299
"17",5459,"Cuba",2014,"male","25-34",97,758006,12.8,0.769,80656100000,7459
"18",5624,"Cyprus",2014,"male","25-34",8,68555,11.67,0.85,23359294149,29024
"19",5912,"Czech Republic",2014,"male","25-34",157,752372,20.87,0.87,207818330724,20859
"20",6187,"Denmark",2014,"male","25-34",43,333712,12.89,0.923,352993633221,66114
"21",6461,"Ecuador",2014,"male","25-34",123,1271545,9.67,0.732,101726331000,7116
"22",6724,"El Salvador",2014,"male","25-34",77,415163,18.55,0.666,22585841200,3965
"23",6965,"Estonia",2014,"male","25-34",39,97957,39.81,0.861,26224622451,21117
"24",7372,"Finland",2014,"male","25-34",110,356059,30.89,0.883,272609288690,52832
"25",7650,"France",2014,"male","25-34",680,3877350,17.54,0.888,2852165760630,47318
"26",7868,"Georgia",2014,"male","25-34",13,288500,4.51,0.754,16509305828,4757
"27",8142,"Germany",2014,"male","25-34",750,5179803,14.48,0.916,3890606893347,50167
"28",8418,"Greece",2014,"male","25-34",42,702789,5.98,0.865,237029579261,22834
"29",8650,"Grenada",2014,"male","25-34",0,10415,0,0.75,911481481,9456
"30",8931,"Guatemala",2014,"male","25-34",87,1228328,7.08,0.627,58722323918,4210
"31",9448,"Hungary",2014,"male","25-34",130,648134,20.06,0.828,140118140455,14886
"32",9732,"Iceland",2014,"male","25-34",9,23711,37.96,0.899,17304033021,56833
"33",10018,"Ireland",2014,"male","25-34",80,337977,23.67,0.916,258099014042,59634
"34",10284,"Israel",2014,"male","25-34",41,580208,7.07,0.894,308416982140,41869
"35",10560,"Italy",2014,"male","25-34",300,3494152,8.59,0.873,2151732868243,37035
"36",10956,"Japan",2014,"male","25-34",2131,7007000,30.41,0.891,4850413536038,40328
"37",11231,"Kazakhstan",2014,"male","25-34",667,1462224,45.62,0.788,221415572820,14351
"38",11613,"Kuwait",2014,"male","25-34",22,663735,3.31,0.816,162631412509,43774
"39",11878,"Kyrgyzstan",2014,"male","25-34",93,495103,18.78,0.655,7468096567,1465
"40",12132,"Latvia",2014,"male","25-34",45,143777,31.3,0.819,31335013752,16544
"41",12384,"Lithuania",2014,"male","25-34",94,189300,49.66,0.839,48516371721,17442
"42",12670,"Luxembourg",2014,"male","25-34",7,41442,16.89,0.892,66327344189,126352
"43",13079,"Malta",2014,"male","25-34",2,32560,6.14,0.839,11234045376,27634
"44",13351,"Mauritius",2014,"male","25-34",24,90004,26.67,0.777,12803445934,11120
"45",13639,"Mexico",2014,"male","25-34",1140,10118932,11.27,0.756,1314385330073,11663
"46",14046,"Netherlands",2014,"male","25-34",117,1024168,11.42,0.922,879635084125,55325
"47",14377,"Nicaragua",2014,"male","25-34",73,525741,13.89,0.631,11880438824,2199
"48",14656,"Norway",2014,"male","25-34",71,353943,20.06,0.944,499338534779,103443
"49",14702,"Oman",2014,"male","25-34",4,910905,0.44,0.793,81076723017,22328
"50",14931,"Panama",2014,"male","25-34",27,303879,8.89,0.78,49921464400,14181
"51",15194,"Paraguay",2014,"male","25-34",62,565080,10.97,0.679,30881166852,5254
"52",15604,"Poland",2014,"male","25-34",764,3087300,24.75,0.843,545179584720,15119
"53",15845,"Portugal",2014,"male","25-34",65,617765,10.52,0.83,229629822122,23091
"54",16108,"Puerto Rico",2014,"male","25-34",20,260905,7.67,NA,102445800000,29515
"55",16277,"Qatar",2014,"male","25-34",15,626535,2.39,0.85,206224725275,91587
"56",16563,"Republic of Korea",2014,"male","25-34",1133,3662939,30.93,NA,1411333926201,29120
"57",16838,"Romania",2014,"male","25-34",230,1430960,16.07,0.793,199493490983,10526
"58",17122,"Russian Federation",2014,"male","25-34",5276,12057910,43.76,NA,2063662665172,15319
"59",17386,"Saint Lucia",2014,"male","25-34",3,13477,22.26,0.729,1551921037,9372
"60",17626,"Saint Vincent and Grenadines",2014,"male","25-34",1,8817,11.34,0.72,725185185,7203
"61",17881,"Serbia",2014,"male","25-34",73,487583,14.97,0.771,44210806366,6500
"62",18065,"Seychelles",2014,"male","25-34",0,7704,0,0.772,1342997306,16018
"63",18336,"Singapore",2014,"male","25-34",30,268258,11.18,0.912,311539499645,84442
"64",18600,"Slovakia",2014,"male","25-34",60,439688,13.65,0.844,100948236941,19679
"65",18840,"Slovenia",2014,"male","25-34",33,149299,22.1,0.88,49904928335,25569
"66",19077,"South Africa",2014,"male","25-34",154,4927939,3.13,0.666,350904575292,7174
"67",19356,"Spain",2014,"male","25-34",268,3040808,8.81,0.876,1376910811041,31171
"68",19714,"Suriname",2014,"male","25-34",26,41917,62.03,0.714,5240606061,10530
"69",19980,"Sweden",2014,"male","25-34",114,638657,17.85,0.907,573817719109,62956
"70",20242,"Switzerland",2014,"male","25-34",68,572530,11.88,0.93,709182559935,90809
"71",20491,"Thailand",2014,"male","25-34",682,4969108,13.72,0.726,407339361696,6662
"72",20817,"Turkey",2014,"male","25-34",243,6484352,3.75,0.761,934185915467,13170
"73",21090,"Turkmenistan",2014,"male","25-34",23,470459,4.89,0.688,43524210526,9046
"74",21356,"Ukraine",2014,"male","25-34",1302,3543016,36.75,0.747,133503411376,3299
"75",21702,"United Kingdom",2014,"male","25-34",602,4360457,13.81,0.907,3022827781881,49906
"76",21980,"United States",2014,"male","25-34",5222,21760455,24,0.915,1.7427609e+13,58531
"77",22244,"Uruguay",2014,"male","25-34",81,234529,34.54,0.793,57236013086,18012
"78",22482,"Uzbekistan",2014,"male","25-34",318,2739150,11.61,0.675,63067077179,2309
