"","country","year","sex","age","suicides_no","population","suicides_per_100k","HDI.for.year","gdp_for_year","gdp_per_capita"
"1","Albania",1993,"male","15-24",18,243300,7.4,NA,1228071038,437
"2","Albania",1993,"male","55-74",7,165000,4.24,NA,1228071038,437
"3","Albania",1993,"male","75+",1,24200,4.13,NA,1228071038,437
"4","Albania",1993,"male","25-34",9,230100,3.91,NA,1228071038,437
"5","Albania",1993,"female","15-24",10,285300,3.51,NA,1228071038,437
"6","Albania",1993,"male","35-54",10,350300,2.85,NA,1228071038,437
"7","Albania",1993,"female","25-34",7,261800,2.67,NA,1228071038,437
"8","Albania",1993,"female","35-54",7,331200,2.11,NA,1228071038,437
"9","Albania",1993,"female","55-74",2,169500,1.18,NA,1228071038,437
"10","Albania",1993,"female","5-14",1,340300,0.29,NA,1228071038,437
"11","Albania",1993,"male","5-14",1,367000,0.27,NA,1228071038,437
"12","Albania",1993,"female","75+",0,39300,0,NA,1228071038,437
"13","Albania",1994,"male","75+",2,24600,8.13,NA,1985673798,697
"14","Albania",1994,"male","55-74",11,171400,6.42,NA,1985673798,697
"15","Albania",1994,"female","75+",2,39900,5.01,NA,1985673798,697
"16","Albania",1994,"male","25-34",6,231400,2.59,NA,1985673798,697
"17","Albania",1994,"male","35-54",9,362800,2.48,NA,1985673798,697
"18","Albania",1994,"male","15-24",6,242200,2.48,NA,1985673798,697
"19","Albania",1994,"female","15-24",6,282600,2.12,NA,1985673798,697
"20","Albania",1994,"female","25-34",4,261100,1.53,NA,1985673798,697
"21","Albania",1994,"female","35-54",2,342500,0.58,NA,1985673798,697
"22","Albania",1994,"female","55-74",1,174600,0.57,NA,1985673798,697
"23","Albania",1994,"male","5-14",1,371800,0.27,NA,1985673798,697
"24","Albania",1994,"female","5-14",0,344400,0,NA,1985673798,697
"25","Albania",1995,"male","25-34",13,232900,5.58,0.619,2424499009,835
"26","Albania",1995,"male","55-74",9,178000,5.06,0.619,2424499009,835
"27","Albania",1995,"female","75+",2,40800,4.9,0.619,2424499009,835
"28","Albania",1995,"female","15-24",13,283500,4.59,0.619,2424499009,835
"29","Albania",1995,"male","15-24",11,241200,4.56,0.619,2424499009,835
"30","Albania",1995,"male","75+",1,25100,3.98,0.619,2424499009,835
"31","Albania",1995,"male","35-54",14,375900,3.72,0.619,2424499009,835
"32","Albania",1995,"female","25-34",7,264000,2.65,0.619,2424499009,835
"33","Albania",1995,"female","35-54",8,356400,2.24,0.619,2424499009,835
"34","Albania",1995,"male","5-14",6,376500,1.59,0.619,2424499009,835
"35","Albania",1995,"female","55-74",2,180400,1.11,0.619,2424499009,835
"36","Albania",1995,"female","5-14",2,348700,0.57,0.619,2424499009,835
"37","Albania",1996,"male","75+",2,25400,7.87,NA,3314898292,1127
"38","Albania",1996,"male","15-24",17,243600,6.98,NA,3314898292,1127
"39","Albania",1996,"male","25-34",14,235300,5.95,NA,3314898292,1127
"40","Albania",1996,"female","15-24",16,287700,5.56,NA,3314898292,1127
"41","Albania",1996,"female","75+",2,41200,4.85,NA,3314898292,1127
"42","Albania",1996,"female","25-34",10,267900,3.73,NA,3314898292,1127
"43","Albania",1996,"male","35-54",12,379600,3.16,NA,3314898292,1127
"44","Albania",1996,"female","35-54",9,362000,2.49,NA,3314898292,1127
"45","Albania",1996,"male","55-74",3,179900,1.67,NA,3314898292,1127
"46","Albania",1996,"female","55-74",1,183100,0.55,NA,3314898292,1127
"47","Albania",1996,"male","5-14",2,380400,0.53,NA,3314898292,1127
"48","Albania",1996,"female","5-14",1,354100,0.28,NA,3314898292,1127
"49","Albania",1997,"male","25-34",36,236000,15.25,NA,2359903108,793
"50","Albania",1997,"male","15-24",33,244400,13.5,NA,2359903108,793
