"","Country","population_2020","yearly_change","net_change","pop_density","land_area","mig_net","fert_rate","med_age","urban_pop","world_share","suicide_rate","gdp_per_capita","life_expect","continent"
"1","Afghanistan",38928346,2.33,886592,60,652860,-62920,4.6,18,25,0.5,6.4,2182,64.5,"Asia"
"2","Albania",2877797,-0.11,-3120,105,27400,-14000,1.6,36,63,0.04,5.6,14866,NA,"Europe"
"3","Algeria",43851044,1.85,797990,18,2381740,-10000,3.1,29,73,0.56,3.3,16091,76.7,"Africa"
"4","Angola",32866272,3.27,1040977,26,1246700,6413,5.6,17,67,0.42,8.9,6763,60.8,"Africa"
"5","Antigua and Barbuda",97929,0.84,811,223,440,0,2,34,26,0,0.5,30593,76.9,"Americas"
"6","Argentina",45195774,0.93,415097,17,2736690,4800,2.3,32,93,0.58,9.1,19971,76.5,"Americas"
"7","Armenia",2963243,0.19,5512,104,28470,-4998,1.8,35,63,0.04,5.7,11845,74.9,"Asia"
"8","Aruba",106766,0.43,452,593,180,201,1.9,41,44,0,NA,NA,NA,"Americas"
"9","Australia",25499884,1.18,296686,3,7682300,158246,1.8,38,86,0.33,11.7,54799,83.3,"Oceania"
"10","Austria",9006398,0.57,51296,109,82409,65000,1.5,43,57,0.12,11.4,55171,81.4,"Europe"
"11","Azerbaijan",10139177,0.91,91459,123,82658,1200,2.1,32,56,0.13,2.6,19156,72.9,"Asia"
"12","Bahamas",393244,0.97,3762,39,10010,1000,1.8,32,86,0.01,1.6,33432,73.8,"Americas"
"13","Bahrain",1701575,3.68,60403,2239,760,47800,2,32,89,0.02,5.7,51991,77.2,"Asia"
"14","Bangladesh",164689383,1.01,1643222,1265,130170,-369501,2.1,28,39,2.11,6.1,5453,72.3,"Asia"
"15","Barbados",287375,0.12,350,668,430,-79,1.6,40,31,0,0.4,19364,79.1,"Americas"
"16","Belarus",9449323,-0.03,-3088,47,202910,8730,1.7,40,79,0.12,21.4,21224,74.6,"Europe"
"17","Belgium",11589623,0.44,50295,383,30280,48000,1.7,42,98,0.15,15.7,50904,81.5,"Europe"
