"","X","Continent","Year","Total_pop"
"1",1,"Africa","1990",638150629
"2",2,"Africa","2000",818946032
"3",3,"Africa","2010",1055228072
"4",4,"Africa","2015",1201102442
"5",5,"Africa","2022",1426730932
"6",6,"Asia","1990",3210563577
"7",7,"Asia","2000",3735089604
"8",8,"Asia","2010",4220041327
"9",9,"Asia","2015",4458250182
"10",10,"Asia","2022",4721383274
"11",11,"Europe","1990",720320797
"12",12,"Europe","2000",726093423
"13",13,"Europe","2010",735613934
"14",14,"Europe","2015",741535608
"15",15,"Europe","2022",743147538
"16",16,"North America","1990",421266425
"17",17,"North America","2000",486069584
"18",18,"North America","2010",542720651
"19",19,"North America","2015",570383850
"20",20,"North America","2022",600296136
"21",21,"Oceania","1990",26743822
"22",22,"Oceania","2000",31222778
"23",23,"Oceania","2010",37102764
"24",24,"Oceania","2015",40403283
"25",25,"Oceania","2022",45038554
"26",26,"South America","1990",297146415
"27",27,"South America","2000",349634282
"28",28,"South America","2010",393078250
"29",29,"South America","2015",413134396
"30",30,"South America","2022",436816608
