"","continent","year","age","avg_suicides"
"1","Africa",2001,"5-14",0.355
"2","Africa",2002,"5-14",0.02
"3","Africa",2003,"5-14",0.186666666666667
"4","Africa",2004,"5-14",0.0366666666666667
"5","Africa",2005,"5-14",2.58
"6","Africa",2006,"5-14",0.223333333333333
"7","Africa",2007,"5-14",0.2
"8","Africa",2008,"5-14",0.2
"9","Africa",2009,"5-14",0.715
"10","Africa",2010,"5-14",0.0316666666666667
"11","Africa",2011,"5-14",0.8
"12","Africa",2012,"5-14",0.6
"13","Africa",2013,"5-14",0.426666666666667
"14","Africa",2014,"5-14",0.605
"15","Africa",2015,"5-14",0.0533333333333333
"16","Asia",2001,"5-14",0.782647058823529
"17","Asia",2002,"5-14",0.6428125
"18","Asia",2003,"5-14",0.62
"19","Asia",2004,"5-14",0.6034375
"20","Asia",2005,"5-14",0.7459375
"21","Asia",2006,"5-14",0.630294117647059
"22","Asia",2007,"5-14",0.680833333333333
"23","Asia",2008,"5-14",0.5884375
"24","Asia",2009,"5-14",0.666315789473684
"25","Asia",2010,"5-14",0.546
"26","Asia",2011,"5-14",0.663611111111111
"27","Asia",2012,"5-14",0.550625
"28","Asia",2013,"5-14",0.680625
"29","Asia",2014,"5-14",0.587941176470588
"30","Asia",2015,"5-14",0.540769230769231
"31","Europe",2001,"5-14",0.6475
"32","Europe",2002,"5-14",0.611111111111111
"33","Europe",2003,"5-14",0.692916666666667
"34","Europe",2004,"5-14",0.595147058823529
"35","Europe",2005,"5-14",0.487714285714286
"36","Europe",2006,"5-14",0.396617647058824
"37","Europe",2007,"5-14",0.549166666666667
"38","Europe",2008,"5-14",0.571805555555556
"39","Europe",2009,"5-14",0.481388888888889
"40","Europe",2010,"5-14",0.478714285714286
"41","Europe",2011,"5-14",0.438823529411765
"42","Europe",2012,"5-14",0.423939393939394
"43","Europe",2013,"5-14",0.453787878787879
"44","Europe",2014,"5-14",0.498285714285714
"45","Europe",2015,"5-14",0.580357142857143
"46","North America",2001,"5-14",0.3346875
"47","North America",2002,"5-14",0.446875
"48","North America",2003,"5-14",0.3965625
"49","North America",2004,"5-14",0.3415625
"50","North America",2005,"5-14",0.6096875
"51","North America",2006,"5-14",0.5746875
"52","North America",2007,"5-14",0.408571428571429
"53","North America",2008,"5-14",0.482666666666667
"54","North America",2009,"5-14",0.3340625
"55","North America",2010,"5-14",0.4346875
"56","North America",2011,"5-14",0.6371875
"57","North America",2012,"5-14",0.74
"58","North America",2013,"5-14",0.736
"59","North America",2014,"5-14",0.784166666666667
"60","North America",2015,"5-14",0.876111111111111
"61","Oceania",2001,"5-14",0.335
"62","Oceania",2002,"5-14",0.656666666666667
"63","Oceania",2003,"5-14",0.443333333333333
"64","Oceania",2004,"5-14",0.63
"65","Oceania",2005,"5-14",0.17
"66","Oceania",2006,"5-14",1.05833333333333
"67","Oceania",2007,"5-14",0.256666666666667
"68","Oceania",2008,"5-14",0.628333333333333
"69","Oceania",2009,"5-14",0.603333333333333
"70","Oceania",2010,"5-14",0.715
"71","Oceania",2011,"5-14",0.538333333333333
"72","Oceania",2012,"5-14",0.878333333333333
"73","Oceania",2013,"5-14",0.5525
"74","Oceania",2014,"5-14",0.73
"75","Oceania",2015,"5-14",0.48
"76","South America",2001,"5-14",0.877222222222222
"77","South America",2002,"5-14",1.50055555555556
"78","South America",2003,"5-14",1.06611111111111
"79","South America",2004,"5-14",1.51388888888889
"80","South America",2005,"5-14",1.34388888888889
"81","South America",2006,"5-14",1.38055555555556
"82","South America",2007,"5-14",1.77111111111111
"83","South America",2008,"5-14",1.41111111111111
"84","South America",2009,"5-14",1.52777777777778
"85","South America",2010,"5-14",1.76944444444444
"86","South America",2011,"5-14",1.5475
"87","South America",2012,"5-14",1.48333333333333
"88","South America",2013,"5-14",1.455
"89","South America",2014,"5-14",1.305
"90","South America",2015,"5-14",1.02916666666667
"91","Africa",2001,"15-24",3.84
"92","Africa",2002,"15-24",6.98
"93","Africa",2003,"15-24",4.64333333333333
"94","Africa",2004,"15-24",5.105
"95","Africa",2005,"15-24",4.89166666666667
"96","Africa",2006,"15-24",7.00333333333333
"97","Africa",2007,"15-24",5.11666666666667
"98","Africa",2008,"15-24",4.69333333333333
"99","Africa",2009,"15-24",4.22833333333333
